Entity,Label
mitral aortic valvular disease,DISEASE
aortic stenosis,DISEASE
aortic insufficiency,DISEASE
mitral regurgitation,DISEASE
aortic stenosis,DISEASE
mitral regurgitation,DISEASE
fatigue,DISEASE
Heparin,CHEMICAL
Mitral regurgitation Rheumatic heart disease,DISEASE
Hypertension,DISEASE
atrial fibrillation,DISEASE
diabetes mellitus glaucoma,DISEASE
heart failure,DISEASE
cataract,DISEASE
Premature coronary artery disease,DISEASE
distended tender bowel sounds,DISEASE
tenderness,DISEASE
Edema,DISEASE
Carotid Bruit murmur,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
depressed,DISEASE
atheroma,DISEASE
pericardial effusion,DISEASE
depressed,DISEASE
hypokinesis,DISEASE
atheroma,DISEASE
thoracic aorta,DISEASE
aortic valve stenosis,DISEASE
aortic regurgitation,DISEASE
valvular mitral stenosis,DISEASE
mitral regurgitation,DISEASE
pericardial effusion,DISEASE
Heparin,CHEMICAL
Propofol,CHEMICAL
hypertensive,DISEASE
Nitroglycerin,CHEMICAL
atrial fibrillation,DISEASE
Digoxin,CHEMICAL
Lasix,CHEMICAL
Glimepiride,CHEMICAL
Coumadin,CHEMICAL
atorvastatin,CHEMICAL
docusate sodium,CHEMICAL
lisinopril,CHEMICAL
cholecalciferol vitamin,CHEMICAL
calcium carbonate calcium,CHEMICAL
timolol maleate,CHEMICAL
aspirin,CHEMICAL
ranitidine,CHEMICAL
acetaminophen,CHEMICAL
pain fever,DISEASE
Suppository,CHEMICAL
constipation magnesium,DISEASE
metoprolol tartrate,CHEMICAL
glimepiride,CHEMICAL
warfarin,CHEMICAL
furosemide,CHEMICAL
potassium chloride,CHEMICAL
Humulin,CHEMICAL
Mitral stenosis regurgitation aortic stenosis coronary artery disease aortic mitral replacements coronary artery bypass graft,DISEASE
rheumatic heart disease,DISEASE
atrial fibrillation,DISEASE
hypertension,DISEASE
heart failure noninsulin,DISEASE
diabetes mellitus,DISEASE
cataract,DISEASE
pain,DISEASE
erythema,DISEASE
erythema,DISEASE
Edema,DISEASE
redness,DISEASE
Coumadin,CHEMICAL
atrial fibrillation,DISEASE
Coumadin,CHEMICAL
strep,DISEASE
Gestational diabetes diet,DISEASE
uterine fibroids,DISEASE
fibroids,DISEASE
fibroids,DISEASE
Rupture,DISEASE
prematurity,DISEASE
palate Chest Breath,DISEASE
hepatosplenomegaly,DISEASE
Hypospadias,DISEASE
buttocks nevus back left thigh Neurologic Normal tone Moving extremities Appropriate reflexes HOSPITAL COURSE SYSTEMS Respiratory This baby developed,DISEASE
respiratory distress,DISEASE
haziness,DISEASE
respiratory distress,DISEASE
murmurs,DISEASE
glucose,CHEMICAL
glucose,CHEMICAL
Neosure Infectious disease,DISEASE
bilirubin,CHEMICAL
hypospadias,DISEASE
Hepatitis,DISEASE
Prematurity,DISEASE
respiratory distress,DISEASE
sepsis,DISEASE
hyperbilirubinemia Hypospadias,DISEASE
cataracts,DISEASE
overdose,DISEASE
ideation pseudoseizures endometriosis,DISEASE
abdominal pain,DISEASE
orthostatic tachycardiac syndrome,DISEASE
overdose,DISEASE
MSIR,CHEMICAL
Contin,CHEMICAL
MSIR,CHEMICAL
MSIR,CHEMICAL
Narcan,CHEMICAL
respiratory depression,DISEASE
Narcan,CHEMICAL
Narcan,CHEMICAL
charcoal,CHEMICAL
Ativan,CHEMICAL
charcoal,CHEMICAL
Narcan,CHEMICAL
ideation,DISEASE
ideation,DISEASE
orthostatic tachycardiac syndrome,DISEASE
tachycardia,DISEASE
hypertensive,DISEASE
syncope,DISEASE
Endometriosis,DISEASE
abdominal pain,DISEASE
pulmonary embolism,DISEASE
gallstones,DISEASE
hemorrhage,DISEASE
Reglan Zofran Florinef,CHEMICAL
Motilium,CHEMICAL
allergic,DISEASE
alcohol,CHEMICAL
coronary artery disease cerebrovascular accident,DISEASE
neurological disease,DISEASE
oxygen,CHEMICAL
depressed,DISEASE
lymphadenopathy,DISEASE
edema,DISEASE
sodium potassium chloride bicarbonate,CHEMICAL
glucose,CHEMICAL
benzodiazepines,CHEMICAL
Narcan,CHEMICAL
Narcan,CHEMICAL
respiratory distress depression,DISEASE
Reglan Florinef,CHEMICAL
Tylenol,CHEMICAL
overdose,DISEASE
respiratory depression,DISEASE
Suicidal ideation,DISEASE
Penicillins Percocet Tetanus,CHEMICAL
Chest tightness,DISEASE
Diabetes Mellitus,DISEASE
Hyperlipidemia Hypothyroidism Depression,DISEASE
Osteopenia,DISEASE
Squampous cell cancer excision Renal tumor,DISEASE
renal calculi Bronchitis Anxiety,DISEASE
alcohol,CHEMICAL
skin cancer,DISEASE
distended tender bowel sounds Extremities,DISEASE
Edema,DISEASE
Carotid Bruit Right Left,DISEASE
Glucose,CHEMICAL
atrial septal defect,DISEASE
atheroma,DISEASE
atheroma,DISEASE
aortic valve leaflets aortic valve leaflets mildly thickened,DISEASE
aortic regurgitation,DISEASE
Trivial mitral regurgitation,DISEASE
pneumothorax,DISEASE
bibasilar atelectatic,DISEASE
vancomycin,CHEMICAL
metformin,CHEMICAL
glipizide,CHEMICAL
simvastatin,CHEMICAL
Bupropion,CHEMICAL
clotrimazole,CHEMICAL
aspirin,CHEMICAL
Levothyroxine,CHEMICAL
Glipizide,CHEMICAL
Metformin,CHEMICAL
Aspirin,CHEMICAL
Clotrimazole Cream Appl,CHEMICAL
Bupropion,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Lasix,CHEMICAL
Potassium Chloride,CHEMICAL
Hydromorphone,CHEMICAL
pain,DISEASE
Docusate Sodium,CHEMICAL
constipation,DISEASE
Simvastatin,CHEMICAL
Disposition,CHEMICAL
Coronary artery disease,DISEASE
Diabetes Mellitus,DISEASE
Hyperlipidemia Hypothyroidism Depression,DISEASE
Osteopenia,DISEASE
Squampous cell cancer excision Renal tumor,DISEASE
renal calculi Bronchitis Anxiety,DISEASE
infection redness,DISEASE
pain,DISEASE
fever,DISEASE
weight gain,DISEASE
Vaccine,CHEMICAL
hemoptysis,DISEASE
bronchial artery embolization,DISEASE
NSCLC,DISEASE
hemoptysis,DISEASE
bronchial artery embolization,DISEASE
hemoptysis,DISEASE
hemoptysis,DISEASE
bleeding,DISEASE
mets,DISEASE
bronchial artery embolization,DISEASE
bronchial artery embolization microns,DISEASE
tachypnea desaturation,DISEASE
morphine,CHEMICAL
respiratory distress,DISEASE
pain,DISEASE
chills nausea vomiting diaphoresis diarrhea constipation,DISEASE
intermittent shortness breath,DISEASE
cough,DISEASE
NSCLC,DISEASE
Cancer,DISEASE
pneumonia,DISEASE
Gemcitabine,CHEMICAL
COPD Seizures,DISEASE
brain injury,DISEASE
pneumonia,DISEASE
EtOH,CHEMICAL
cachectic acute distress,DISEASE
Lungs Decreased breath,DISEASE
Cardiovascular Decreased heart sounds,DISEASE
tachycardia,DISEASE
organomegaly,DISEASE
cyanosis edema,DISEASE
clubbing hematoma bruit,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
INTUBA,CHEMICAL
Vanco,CHEMICAL
volume loss rightward shift midline structures unchanged Increased opacity,DISEASE
vascular congestion,DISEASE
pulmonary edema,DISEASE
pneumothorax left effusion,DISEASE
pulmonary edema,DISEASE
pleural effusion,DISEASE
atelectasis,DISEASE
vein thrombosis,DISEASE
inferior paraesophageal,DISEASE
Volume loss,DISEASE
fibrosis,DISEASE
atelectatic,DISEASE
bronchiolectasis bronchial bronchiole wall thickening,DISEASE
bronchiectasis interstitial septal thickening,DISEASE
fissures,DISEASE
pleural effusion,DISEASE
bronchiectasis,DISEASE
centrilobular emphysema,DISEASE
atherosclerotic calcification,DISEASE
Atherosclerotic calcification,DISEASE
volume loss,DISEASE
pleural effusion,DISEASE
pneumonia pulmonary hemorrhage,DISEASE
Aortogram,DISEASE
heparin,CHEMICAL
bronchial trunk,DISEASE
bronchial trunk cannulation,DISEASE
anyreflux,DISEASE
Aortogram,DISEASE
bronchial trunk right bronchial artery,DISEASE
NSCLC chemo,DISEASE
hemoptysis right bronchial artery embolization,DISEASE
hypoxic respiratory distress Hypoxic respiratory distress,DISEASE
hypoxemic respiratory distress,DISEASE
airway obstruction,DISEASE
tumor,DISEASE
bronchospasm,DISEASE
embolus,DISEASE
hypoxia,DISEASE
airway obstruction,DISEASE
tumor,DISEASE
tumor,DISEASE
obstructive pneumonia,DISEASE
flagyl,CHEMICAL
nebulizations,CHEMICAL
bronchospastic response peripheral signs,DISEASE
cancer,DISEASE
oxygen,CHEMICAL
hemoptysis,DISEASE
oxygen,CHEMICAL
hypercarbia COPD,DISEASE
fits,DISEASE
morphine,CHEMICAL
anxiety,DISEASE
lorazepam,CHEMICAL
tylenol,CHEMICAL
fever,DISEASE
Hemoptysis,DISEASE
bronchial artery embolization,DISEASE
desaturation,DISEASE
hemoptysis,DISEASE
heparin,CHEMICAL
bleeding,DISEASE
NSCLC,DISEASE
Gemcitabine,CHEMICAL
Hypothyroidism,DISEASE
levothyroxine Hyperlipidemia,CHEMICAL
statin Constipation constipation,DISEASE
Seizures,DISEASE
phenytoin Hypophosphatemia,CHEMICAL
Hyponatremia,DISEASE
hyponatremia Thrombocytosis,DISEASE
obstructive pneumonia Insomnia,DISEASE
trazodone,CHEMICAL
Simvastatin,CHEMICAL
Dilantin,CHEMICAL
Albuterol Spiriva,CHEMICAL
simvastatin,CHEMICAL
levothyroxine,CHEMICAL
albuterol sulfate,CHEMICAL
phenobarbital,CHEMICAL
phenytoin,CHEMICAL
albuterol sulfate,CHEMICAL
shortness breath,DISEASE
metronidazole,CHEMICAL
lorazepam,CHEMICAL
anxiety,DISEASE
lidocaine,CHEMICAL
sore throat,DISEASE
guaifenesin Syrup,CHEMICAL
cough senna,DISEASE
acetaminophen,CHEMICAL
pain fever morphine,DISEASE
shortness breath ipratropium bromide,DISEASE
sodium chloride,CHEMICAL
nose polyethylene glycol,DISEASE
constipation docusate sodium,DISEASE
trazodone,CHEMICAL
insomnia Sodium Chloride,DISEASE
Heparin,CHEMICAL
heparin,CHEMICAL
Heparin,CHEMICAL
vancomycin,CHEMICAL
Primary diagnosis Stage IIIB,DISEASE
NSCLC,DISEASE
Cancer,DISEASE
pneumonia,DISEASE
Gemcitabine,CHEMICAL
bronchial artery embolization,DISEASE
COPD,DISEASE
Seizures,DISEASE
pneumonia,DISEASE
oxygen,CHEMICAL
oxygen,CHEMICAL
bronchial artery embolization,DISEASE
oxygen,CHEMICAL
lung cancer,DISEASE
fever,DISEASE
cefepime flagyl vancomycin,CHEMICAL
morphine ipratropium albuterol,CHEMICAL
IDDM hypertension,DISEASE
labetalol Procardia,CHEMICAL
Dextro,CHEMICAL
Normocephalic,DISEASE
palate,DISEASE
rash,DISEASE
active bowel sounds masses distention,DISEASE
oxygen,CHEMICAL
apnea prematurity,DISEASE
peripheral pulmonic stenosis,DISEASE
hypoglycemia,DISEASE
dextrose,CHEMICAL
dextrose,CHEMICAL
bilirubin,CHEMICAL
ampicillin gentamicin,CHEMICAL
sepsis,DISEASE
hepatitis,DISEASE
neuromuscular disease airway abnormalities,DISEASE
chronic lung disease,DISEASE
Prematurity,DISEASE
diabetic mother Transitional respiratory distress,DISEASE
Sepsis,DISEASE
Hypoglycemia,DISEASE
Peripheral pulmonic stenosis Small umbilical hernia,DISEASE
atrial fibrillation,DISEASE
coumadin with stage,CHEMICAL
bleeding,DISEASE
streaks blood stool blood toilet,DISEASE
bleeding,DISEASE
polyp adenoma,DISEASE
fatigue,DISEASE
tachycardia,DISEASE
Coronary artery disease,DISEASE
Congestive heart failure,DISEASE
diastolic systolic dysfunction,DISEASE
Hyperlipidemia,DISEASE
atrial fibrillation,DISEASE
gastrointestinal bleed,DISEASE
Glucose intolerance Right carotid stenosis,DISEASE
urosepsis,DISEASE
melanoma,DISEASE
basal cell,DISEASE
gout hypothyroidism,DISEASE
coronary artery disease breast cancer,DISEASE
Chest bibasilar crackles murmurs nontender nondistended Extrem pedal edema shin left shin,DISEASE
ulcer,DISEASE
Glucose,CHEMICAL
coumadin,CHEMICAL
bleed,DISEASE
hypotension,DISEASE
bleed,DISEASE
vitamin patient,CHEMICAL
nonbleeding,DISEASE
digoxin Metoprolol,CHEMICAL
edema,DISEASE
creatinine,CHEMICAL
septic,DISEASE
bumetanide spironolactone,CHEMICAL
Digoxin,CHEMICAL
Septic Shock,DISEASE
febrile hypotensive,DISEASE
lower extremity,DISEASE
abscess,DISEASE
valvular lesions,DISEASE
endocarditis,DISEASE
hypotension,DISEASE
metoprolol,CHEMICAL
hypotension,DISEASE
vancomycin bacteremia,CHEMICAL
statin aspirin,CHEMICAL
bleed,DISEASE
aspirin,CHEMICAL
pneumonia,DISEASE
levofloxacin flagyl rash,CHEMICAL
derm,DISEASE
triamcinolone,CHEMICAL
actinic keratoses skin exam,DISEASE
hypotension,DISEASE
Depression,DISEASE
Hypothyroidism,DISEASE
levothyroxine,CHEMICAL
atorvastatin,CHEMICAL
citalopram,CHEMICAL
allopurinol,CHEMICAL
bumetanide lisinopril,CHEMICAL
digoxin,CHEMICAL
aldactone,CHEMICAL
levothyroxine,CHEMICAL
warfarin,CHEMICAL
metoprolol,CHEMICAL
Atorvastatin,CHEMICAL
Citalopram,CHEMICAL
Allopurinol,CHEMICAL
Levothyroxine,CHEMICAL
Acetaminophen,CHEMICAL
Digoxin,CHEMICAL
Pantoprazole,CHEMICAL
Albuterol Sulfate,CHEMICAL
Bisacodyl,CHEMICAL
Miconazole Nitrate,CHEMICAL
Camphor Menthol Lotion,CHEMICAL
Triamcinolone Acetonide,CHEMICAL
Lisinopril,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Vancomycin,CHEMICAL
Levofloxacin,CHEMICAL
Metronidazole NaCl,CHEMICAL
bacteremia,DISEASE
pneumonia,DISEASE
gastrointestinal bleed,DISEASE
acute renal failure Congestive Heart Failure Systolic Diastolic dysfunction,DISEASE
sodium,CHEMICAL
chest pain shortness breath fever chills nausea vomiting abdominal pain,DISEASE
actinic keratoses lesion,DISEASE
NMSC,DISEASE
shortness breath,DISEASE
dysphagia,DISEASE
hemoptysis,DISEASE
weight loss,DISEASE
hemoptysis,DISEASE
rales wheezing,DISEASE
cardiomegaly pleural effusions,DISEASE
drooling,DISEASE
ulcer,DISEASE
akathisic,DISEASE
sclerae,DISEASE
rash,DISEASE
coags,DISEASE
Glucose,CHEMICAL
Folate,CHEMICAL
Lactate,CHEMICAL
Lactate,CHEMICAL
malignancy,DISEASE
liver lesions,DISEASE
hemangiomas,DISEASE
upper lobe Small left adrenal mass,DISEASE
liver texture Esophageal distention,DISEASE
left ventricular systolic dysfunction,DISEASE
septal hypokinesis Overall left ventricular systolic function,DISEASE
aortic regurgitation,DISEASE
mitral valve leaflets mildly thickened,DISEASE
mitral regurgitation,DISEASE
pulmonary artery systolic pressure,DISEASE
pericardial effusion,DISEASE
hemorrhage,DISEASE
lower lobe atelectasis,DISEASE
atelectasis,DISEASE
atelectasis,DISEASE
Hypoxemic respiratory failure,DISEASE
postobstructive pneumonia,DISEASE
vancomycin,CHEMICAL
ESBLs,DISEASE
lasix,CHEMICAL
head mets,DISEASE
chemo,CHEMICAL
malignancy,DISEASE
hypoxia hemoptysis,DISEASE
pneumothorax,DISEASE
pleural effusion,DISEASE
lorazepam,CHEMICAL
hypotensive,DISEASE
hypovolemia,DISEASE
levophed,CHEMICAL
agitation,DISEASE
metoprolol,CHEMICAL
Anxiety,DISEASE
ativan,CHEMICAL
respiratory distress,DISEASE
Heparin,CHEMICAL
Albuterol,CHEMICAL
Ipratropium Bromide,CHEMICAL
Docusate Sodium,CHEMICAL
Bisacodyl,CHEMICAL
Chlorhexidine Gluconate Mouthwash,CHEMICAL
Zolpidem,CHEMICAL
insomnia Metoprolol Tartrate,DISEASE
Lansoprazole,CHEMICAL
Furosemide,CHEMICAL
Lorazepam,CHEMICAL
Morphine,CHEMICAL
Albuterol Sulfate,CHEMICAL
Ipratropium Bromide,CHEMICAL
Adenocarcinoma lung hypoxic respiratory failure postobstructive pneumonia,DISEASE
atrial fibrilation hypertension,DISEASE
pneumothorax,DISEASE
shortness breath,DISEASE
adenocarcinoma lung,DISEASE
Erythromycin,CHEMICAL
Dyspnea,DISEASE
shortness breath,DISEASE
cramping,DISEASE
shortness breath,DISEASE
diphoresis nausea vomiting palpitations,DISEASE
fever chills,DISEASE
pound loss change chronic,DISEASE
cough,DISEASE
lower extremity swelling chronic aches pains,DISEASE
pain,DISEASE
bleeding,DISEASE
anemia,DISEASE
bleed,DISEASE
angioectasia,DISEASE
diverticulosis hemorrhoids,DISEASE
depressed,DISEASE
rheumatic heart coumadin hyperparathyroid NSVT,DISEASE
amiodarone,CHEMICAL
cholesterol,CHEMICAL
EtOH,CHEMICAL
icterus,DISEASE
wheeze rhonchi,DISEASE
normoactive bowel,DISEASE
tenderness,DISEASE
edema,DISEASE
bilaterally Neurologic mental status Alert,DISEASE
CREAT,CHEMICAL
PHOS,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Atrial fibrillation,DISEASE
left bundle branch block wave abnormalities,DISEASE
congestive heart failure,DISEASE
left small,DISEASE
pleural effusion,DISEASE
pleural thickening,DISEASE
hydronephrosis,DISEASE
chronic parenchymal disease Small,DISEASE
ascites,DISEASE
ventricular hypertrophy left ventricular cavity moderately dilated,DISEASE
left ventricular hypokinesis,DISEASE
depressed right ventricular cavity dilated,DISEASE
hypokinesis aortic valve leaflets mildly thickened,DISEASE
bileaflet mitral valve prosthesis,DISEASE
tricuspid regurgitation,DISEASE
pulmonary artery systolic hypertension,DISEASE
Sinusitis,DISEASE
atelectasis Pneumonia,DISEASE
small bowel colon,DISEASE
ileus,DISEASE
cardiomegaly,DISEASE
pulmonary edema,DISEASE
pleural effusion,DISEASE
coumadin maroon output black stool,CHEMICAL
shortness breath,DISEASE
coagulopathy,DISEASE
UGIB,DISEASE
ulcer malignancy gastritis,DISEASE
hypotensive,DISEASE
hypotension,DISEASE
intubated respiratory distress,DISEASE
gastric ulcer,DISEASE
bleeding,DISEASE
pyloric ulcer petechiae erosions esophagus stomach,DISEASE
trauma,DISEASE
bleeding gastric ulcer,DISEASE
protonix,CHEMICAL
protonix,CHEMICAL
gastric ulcer,DISEASE
intubated secondary respiratory failure Respiratory failure,DISEASE
COPD,DISEASE
COPD,DISEASE
lasix,CHEMICAL
volume overload,DISEASE
solumedrol wheezing,CHEMICAL
dyspnea,DISEASE
steroid,CHEMICAL
hypotensive,DISEASE
Hypotension,DISEASE
hypovolemia,DISEASE
leukocytosis,DISEASE
sepsis,DISEASE
Levophed,CHEMICAL
systolic dysfunction,DISEASE
lasix,CHEMICAL
digoxin,CHEMICAL
Amiodarone,CHEMICAL
digoxin,CHEMICAL
Coumadin,CHEMICAL
heparin,CHEMICAL
coumadin,CHEMICAL
heparin,CHEMICAL
Coumadin,CHEMICAL
Creatinine,CHEMICAL
proteus,DISEASE
cipro,CHEMICAL
Headache,DISEASE
migraine,DISEASE
sinusitis,DISEASE
tylenol Pain,CHEMICAL
pain,DISEASE
morphine,CHEMICAL
fentanyl,CHEMICAL
Carvedilol Gemfibrozil,CHEMICAL
Amiodarone,CHEMICAL
Albuterol,CHEMICAL
Ipratropium Bromide,CHEMICAL
Calcium,CHEMICAL
Nicotine,CHEMICAL
Acetaminophen,CHEMICAL
Lidocaine,CHEMICAL
Docusate Sodium,CHEMICAL
Pantoprazole,CHEMICAL
Digoxin,CHEMICAL
Zolpidem,CHEMICAL
Amiodarone,CHEMICAL
Fentanyl,CHEMICAL
Ipratropium Bromide,CHEMICAL
Albuterol Sulfate,CHEMICAL
Albuterol Sulfate,CHEMICAL
Lactulose Syrup,CHEMICAL
Bisacodyl,CHEMICAL
Warfarin,CHEMICAL
Heparin,CHEMICAL
heparin,CHEMICAL
Methylprednisolone Sodium,CHEMICAL
Ciprofloxacin,CHEMICAL
Gemfibrozil,CHEMICAL
Respiratory failure,DISEASE
COPD Hypotension,DISEASE
hyperlipidemia,DISEASE
sodium,CHEMICAL
chills chest pain,DISEASE
breathing lightheadedness bloody,DISEASE
cirrhosis,DISEASE
back pain,DISEASE
fracture,DISEASE
TLSO,DISEASE
bleeding,DISEASE
infection,DISEASE
Cirrhosis Primary biliary cirrhosis autoimmune hepatitis,DISEASE
Esophageal bleed,DISEASE
splenomegaly,DISEASE
fistula,DISEASE
Pancytopenia,DISEASE
hypersplenism,DISEASE
liver disease,DISEASE
heart disease cancer,DISEASE
thyromegaly,DISEASE
asterixis,DISEASE
Glucose,CHEMICAL
DKAMB,CHEMICAL
Nitrite,CHEMICAL
Glucose Ketone,CHEMICAL
Urobiln,CHEMICAL
cirrhosis,DISEASE
splenomegaly,DISEASE
hypertension,DISEASE
infarct,DISEASE
hematoma,DISEASE
trauma,DISEASE
cirrhosis,DISEASE
hepatitis,DISEASE
vitamin,CHEMICAL
solumedrol,CHEMICAL
bilious,DISEASE
slowly,CHEMICAL
TLSO,DISEASE
thoracic lumbar compression,DISEASE
fractures,DISEASE
sodium,CHEMICAL
sodium,CHEMICAL
hyperglycemia,DISEASE
steroids,CHEMICAL
cellcept,CHEMICAL
Steroids,CHEMICAL
prograf,CHEMICAL
lasix,CHEMICAL
edema,DISEASE
Furosemide,CHEMICAL
Spironolactone,CHEMICAL
Alendronate,CHEMICAL
Nadolol,CHEMICAL
Rifampin Ursodiol Calcium Carbonate,CHEMICAL
Lactulose Omeprazole,CHEMICAL
Magnesium,CHEMICAL
Lidocaine,CHEMICAL
Camphor Menthol Lotion,CHEMICAL
Ferrous Sulfate,CHEMICAL
Tramadol Ergocalciferol Vitamin,CHEMICAL
Zofran,CHEMICAL
nausea,DISEASE
Fluconazole,CHEMICAL
Prednisone,CHEMICAL
Docusate Sodium,CHEMICAL
Lidocaine,CHEMICAL
Pantoprazole,CHEMICAL
Sulfamethoxazole Trimethoprim,CHEMICAL
Oxycodone,CHEMICAL
pain,DISEASE
constipation,DISEASE
Mycophenolate Mofetil,CHEMICAL
Valganciclovir,CHEMICAL
Furosemide,CHEMICAL
Tacrolimus,CHEMICAL
Lispro,CHEMICAL
primary billiary cirrhosis vertebral compression,DISEASE
fractures osteoporosis splenomegaly liver,DISEASE
hyperglycemia,DISEASE
steroids hyponatremia,CHEMICAL
stage pancreatic cancer,DISEASE
peritoneal carcinomatosis mets liver,DISEASE
ascites,DISEASE
nausea vomiting,DISEASE
abdominal pain,DISEASE
chills,DISEASE
fatigued daughter been getting much recent bout with,DISEASE
thrush,DISEASE
throat pain,DISEASE
odynophagia,DISEASE
rash,DISEASE
lidocaine,CHEMICAL
cephalexin,CHEMICAL
cellulitis,DISEASE
abdominal pain,DISEASE
ascites,DISEASE
constipation,DISEASE
magnesium citrate,CHEMICAL
lower pain,DISEASE
edema,DISEASE
hyponatremia,DISEASE
kayexalate calcium,CHEMICAL
overt bowel obstruction,DISEASE
ascites,DISEASE
liver mets,DISEASE
Thrombosis,DISEASE
Cipro flagyl,CHEMICAL
nausea,DISEASE
abdominal pain,DISEASE
pancreatic liver mass,DISEASE
abdominal pain,DISEASE
pancreatic adenocarcinoma,DISEASE
gemcitabine,CHEMICAL
sternal lesion,DISEASE
capecitabine oxaliplatin,CHEMICAL
pancreatic liver mass,DISEASE
abdominal pain,DISEASE
pancreatic adenocarcinoma,DISEASE
gemcitabine,CHEMICAL
sternal lesion,DISEASE
capecitabine oxaliplatin,CHEMICAL
aspirin Hypothyroidism,CHEMICAL
Lovenox,CHEMICAL
pancreatic cancer,DISEASE
cardiovascular disease,DISEASE
stroke,DISEASE
malignancy,DISEASE
Normocephalic,DISEASE
conjunctival pallor,DISEASE
icterus,DISEASE
thrush,DISEASE
thyromegaly,DISEASE
